"Category","RelativePath","Bytes","Chars","Lines","SHA256","ChunkChars","TotalChunks","ReadUntil","Status"
"00-book","00-book\Craig Clunas：《Superfluous Things Material Culture and Social Status in Early Modern China》.md","559877","559062","464","81870A46664F6B95573E217B1FF96DC0E7F9FED7D8E5941177CF9DB68B645DD0","7000","80","559062","COMPLETE"
"00-book","00-book\Crane, Walter：The Bases of Design, 1898.md","386058","385390","34","FF6974B649315EF2F382AF04E2D303C04F5F8D9305E70B6800BE1A2335069B32","7000","56","385390","COMPLETE"
"00-book","00-book\Crawford, Alan：《C.R. Ashbee architect, designer romantic socialist》.md","1501666","1497555","48","E12B694129488814DEB42077B24D80B07C0CF994F1DF7329532C151E5E4BCD45","7000","214","1497555","COMPLETE"
"00-book","00-book\Criticality：《and Its Discontents》.md","33655","33049","139","0A0AE4441E8CA592313C2D1A2C81C60A32F1A582510B133D31BFCF67A91DED32","7000","5","33049","COMPLETE"
"00-book","00-book\CROSS, NIGEL. From a Design Science to a Design Discipline Understanding Designe.md","18148","18119","157","6A45DFEC6D3A0DC31A64796E2630E61C7347BE304F6EF58690259563586D15FA","7000","3","18119","COMPLETE"
"00-book","00-book\Cross, Nigel; Christiaans, Henri; Dorst, Kees (eds.)：Analysing Design Activity, 1996.md","896176","894049","83","72DEFE8C4B3F21EC08A4D389C8CD817B769A2E03FAB598D7CC89452202635135","7000","128","894049","COMPLETE"
"00-book","00-book\Dabrowski, Magdalena (ed.)：Revolution：Russian Avant-Garde, 1912-1930, 1978.md","16677","16650","4","F2DD760CA8F068BF29AFC47CB23BC5B6CBC22390EF623D019E4A6D5A3AEA1047","7000","3","16650","COMPLETE"
"00-book","00-book\Dan Saffer：《Designing for Interaction Creating Innovative Applications》，2009.md","424232","420585","29","3ECCC61A36F5BCF23AED2D142DCCD14C83B672FB11CD468DBAF54199B05BFCF8","7000","61","420585","COMPLETE"
"00-book","00-book\Daniel Berkeley Updike：《Printing Types Their History, Forms, and Use》.md","1490847","1480937","433","71BF4F16D2E75435A76A3140BE3094EC0468B55A30F34B9A2EB6360E249195F3","7000","212","1480937","COMPLETE"
"00-book","00-book\Daniel Kahneman：《Thinking, Fast and Slow》，2011.md","1182439","1180614","61","3CCB3BF64B4CC435D4686F1867FEA233CA8371BC019F6F26466DBFDB099283E2","7000","169","1180614","COMPLETE"
